Tag Number, birthyear, lambs in years 2016-2020
826_034284703784, 2017, [0, 0, 0, 2, 1]
826_034284703783, 2017, [0, 0, 0, 1, 1]
826_034284703781, 2017, [0, 0, 0, 1, 1]
826_034284703740, 2017, [0, 0, 0, 0, 1]
826_034284703739, 2017, [0, 0, 0, 1, 0]
826_034284703778, 2017, [0, 0, 0, 1, 1]
826_034284703797, 2017, [0, 0, 0, 0, 2]
826_034284703820, 2017, [0, 0, 0, 1, 1]
826_034284703856, 2017, [0, 0, 0, 1, 1]
826_034284703852, 2017, [0, 0, 0, 1, 1]
826_034284703867, 2017, [0, 0, 0, 1, 0]
826_034284703681, 2017, [0, 0, 0, 1, 1]
826_034284704663, 2018, [0, 0, 0, 0, 1]
826_034284704683, 2018, [0, 0, 0, 0, 1]
826_034284704682, 2018, [0, 0, 0, 0, 1]
826_034284704685, 2018, [0, 0, 0, 0, 1]
826_034284704755, 2018, [0, 0, 0, 0, 1]
826_034284704684, 2018, [0, 0, 0, 0, 1]
826_034284704697, 2018, [0, 0, 0, 0, 1]
826_034284704708, 2018, [0, 0, 0, 0, 1]
826_034284704716, 2018, [0, 0, 0, 0, 2]
826_034284704713, 2018, [0, 0, 0, 0, 1]
826_034284704712, 2018, [0, 0, 0, 0, 1]
826_034284704736, 2018, [0, 0, 0, 0, 1]
826_034284704719, 2018, [0, 0, 0, 0, 1]
826_034284704671, 2018, [0, 0, 0, 0, 1]
826_034284704723, 2018, [0, 0, 0, 0, 1]
826_034284704722, 2018, [0, 0, 0, 0, 1]
826_034284705236, 2018, [0, 0, 0, 0, 1]
826_034284704707, 2018, [0, 0, 0, 0, 1]
826_034284704711, 2018, [0, 0, 0, 0, 1]
826_034284704706, 2018, [0, 0, 0, 0, 1]
826_034284705249, 2018, [0, 0, 0, 0, 1]
826_034284704868, 2018, [0, 0, 0, 0, 1]
826_034284705195, 2018, [0, 0, 0, 0, 1]
826_034284705234, 2018, [0, 0, 0, 0, 2]
826_034284705241, 2018, [0, 0, 0, 0, 2]
826_034284705232, 2018, [0, 0, 0, 0, 1]
826_034284704599, 2018, [0, 0, 0, 0, 1]
826_034284704749, 2018, [0, 0, 0, 0, 1]
826_034284705193, 2018, [0, 0, 0, 0, 1]
826_034284705162, 2018, [0, 0, 0, 0, 1]
826_034284705164, 2018, [0, 0, 0, 0, 2]
826_034284705229, 2018, [0, 0, 0, 0, 2]
826_034284705206, 2018, [0, 0, 0, 0, 1]
